,name,salary_from,salary_to,salary_currency,area_name,published_at
279,Инженер Linux (мейнтейнер),150000.0,,RUR,Москва,2022-12-23T09:18:08+0300
280,Токарь-универсал,,,,Сафоново,2022-12-23T09:16:58+0300
281,Инженер по информационной безопасности,,,,Москва,2022-12-23T09:34:33+0300
282,Механик по выпуску автотранспорта,,40000.0,RUR,Волгоград,2022-12-23T10:41:56+0300
283,Начальник Отдела информационных технологий,,,,Санкт-Петербург,2022-12-23T11:44:46+0300
284,Специалист службы поддержки в Яндекс Станцию,13000.0,33800.0,RUR,Череповец,2022-12-23T10:24:35+0300
285,Инженер-электронщик/PLC-инженер/Мехатроник,,,,Москва,2022-12-23T09:09:19+0300
286,Наладчик технологического оборудования,,,,Санкт-Петербург,2022-12-23T09:14:38+0300
287,Механик,,,,Москва,2022-12-23T11:36:11+0300
288,Системный аналитик ELMA,,,,Екатеринбург,2022-12-23T07:59:41+0300
289,Рабочий по комплексному обслуживанию зданий,33100.0,33100.0,RUR,Омск,2022-12-23T06:34:44+0300
290,Токарь-расточник,34000.0,,RUR,Омск,2022-12-23T08:17:07+0300
291,Frontend Team Lead,,,,Москва,2022-12-23T10:14:41+0300
292,Сервисный инженер,50000.0,,RUR,Москва,2022-12-23T10:51:07+0300
293,Инженер по сопровождению 1С,,25000.0,RUR,Тамбов,2022-12-23T09:36:52+0300
294,Стажер / ученик токаря-карусельщика,,,,Сафоново,2022-12-23T11:03:58+0300
295,Автоматчик,,,,Калуга,2022-12-23T11:05:55+0300
296,Инженер-механик (в г. Ханты-Мансийск),50000.0,,RUR,Пермь,2022-12-23T07:20:50+0300
297,Менеджер проектов,15000.0,40000.0,RUR,Тольятти,2022-12-23T10:45:23+0300
